"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.347646670E0,-1.603474026E-3,-6.872031838E-3,1.061347127E-2
6.366455316E0,2.672456671E-3,-3.741439432E-2,1.183516532E-2
6.385263962E0,-1.748550311E-2,-5.573981255E-2,7.253811229E-3
6.404072555E0,-3.306210786E-2,-6.093201414E-2,1.214058883E-2
6.422881201E0,-4.161396995E-2,-5.482354015E-2,1.397313084E-2
6.441689847E0,-4.711159319E-2,-6.306997687E-2,1.183516532E-2
6.460498493E0,-5.169294775E-2,-7.009471953E-2,8.170082234E-3
6.479307087E0,-2.359397523E-2,-5.054761097E-2,7.864658721E-3
6.498115732E0,3.199312463E-2,-2.458660305E-2,5.726693198E-3
6.516924378E0,5.428905040E-2,-1.511846948E-2,5.344913807E-4
6.535733024E0,2.680092305E-2,-1.572931744E-2,3.588727675E-3
6.554541670E0,1.450762269E-3,-4.428642802E-3,8.780929260E-3
6.573350264E0,5.115845706E-3,2.290677279E-3,1.305686031E-2
6.592158910E0,3.894151188E-3,-8.399149403E-3,2.069245093E-2
6.610967555E0,-7.635590737E-5,-9.315420873E-3,2.283041552E-2
6.629776201E0,7.253811229E-3,1.985253533E-3,1.855448633E-2
6.648584795E0,1.366770733E-2,3.206948051E-3,1.611109637E-2
6.667393441E0,1.427855436E-2,6.261184346E-3,1.030804776E-2
6.686202087E0,8.399150101E-4,1.985253533E-3,7.559234742E-3
6.705010732E0,-1.473669056E-2,-2.641914412E-2,6.642963737E-3
6.723819326E0,-1.168245357E-2,-4.382828996E-2,1.366770733E-2
6.742627972E0,-8.933641016E-3,-8.093725890E-3,2.130329795E-2
6.761436618E0,-6.872031372E-4,4.382828996E-2,1.427855436E-2
6.780245264E0,1.702736691E-2,4.077405483E-2,6.948387716E-3
6.799053910E0,1.977618039E-2,-9.926267900E-3,9.697199799E-3
6.817862503E0,-7.101099472E-3,-3.863608837E-2,1.702736691E-2
6.836671149E0,-3.703261539E-2,-1.114796288E-2,1.244601328E-2
6.855479795E0,-4.039227590E-2,3.069507517E-2,8.170082234E-3
6.874288441E0,-2.786990628E-2,4.046862945E-2,1.756185899E-3
6.893097035E0,-1.656923257E-2,1.969982497E-2,1.756185899E-3
6.911905680E0,-2.267770469E-2,1.847812906E-2,5.726693198E-3
6.930714326E0,-4.161396995E-2,5.329642445E-2,1.061347127E-2
6.949522972E0,-6.849125028E-2,1.064401343E-1,1.458397787E-2
6.968331566E0,-1.014770046E-1,1.464506239E-1,5.421269219E-3
6.987140212E0,-9.353598952E-2,1.382041872E-1,-2.214321401E-3
7.005948857E0,-5.474718660E-2,7.925742865E-2,6.642963737E-3
7.024757503E0,-7.918107510E-2,3.405473381E-2,1.977618039E-2
7.043566097E0,-1.204132661E-1,4.627167806E-2,9.697199799E-3
7.062374743E0,-9.567394853E-2,7.009471953E-2,8.399150101E-4
7.081183389E0,-4.588989913E-2,6.765133142E-2,-9.239064530E-3
7.099991982E0,-3.000787087E-2,6.184828654E-2,-1.046075951E-2
7.118800628E0,-3.581092134E-2,6.123743951E-2,-2.214321401E-3
7.137609274E0,-2.939702384E-2,4.902049154E-2,3.283303929E-3
7.156417920E0,-2.420482226E-2,4.321744293E-2,9.086352773E-3
7.175226514E0,-3.733803704E-2,5.879404768E-2,4.504998680E-3
7.194035160E0,-3.397838026E-2,6.948387623E-2,-9.239064530E-3
