"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.869710469E0,-1.621494055E0,-1.040731072E0,7.277481556E-1
5.888520156E0,-1.514901161E0,-1.243837714E0,6.147413850E-1
5.907329844E0,-1.251931429E0,-1.248113632E0,5.136461854E-1
5.926139479E0,-9.816315174E-1,-8.174663186E-1,5.796176791E-1
5.944949167E0,-7.568397522E-1,-4.362976551E-1,5.316661596E-1
5.963758854E0,-5.314370990E-1,-2.350234836E-1,3.520007432E-1
5.982568490E0,-2.669402659E-1,-7.192726433E-2,1.369825006E-1
6.001378177E0,-5.062396824E-2,1.682120711E-1,-3.100049868E-2
6.020187865E0,1.839413792E-1,8.689302206E-2,-8.017370105E-2
6.038997500E0,3.943782747E-1,-1.543916464E-1,1.931804419E-1
6.057807188E0,5.883222818E-1,5.085303262E-2,3.703261614E-1
6.076616875E0,6.365792155E-1,3.160370886E-1,4.338542521E-1
6.095426563E0,6.536829472E-1,3.474957347E-1,5.393017530E-1
6.114236198E0,5.330405831E-1,3.926984370E-1,5.319716334E-1
6.133045886E0,3.681118190E-1,1.477486789E-1,2.753393948E-1
6.151855573E0,9.964445978E-2,-2.441861928E-1,1.220167428E-1
6.170665208E0,-8.849649876E-2,-1.577513069E-1,4.840964451E-2
6.189474896E0,-2.400629669E-1,-3.626905680E-1,-3.497100621E-2
6.208284583E0,-5.870242119E-1,-2.249445021E-1,-1.053711493E-2
6.227094271E0,-8.121214509E-1,3.966689408E-1,3.894151375E-2
6.245903906E0,-1.229941010E0,1.419838071E0,-8.017370105E-2
6.264713594E0,-1.022863746E0,1.348674417E0,3.565820754E-1
6.283523281E0,-7.055285573E-1,7.023980021E-1,8.444199562E-1
6.302332969E0,-1.028361320E0,5.619031191E-1,3.990359604E-1
6.321142604E0,-1.319430113E0,5.936672091E-1,-1.137702987E-1
6.339952292E0,-1.037829518E0,7.033142447E-1,-2.163926363E-1
6.358761979E0,-4.996730685E-1,5.686224699E-1,-1.678302884E-1
6.377571667E0,-1.291178465E-1,3.090123534E-1,-2.615953386E-1
6.396381354E0,1.311030984E-1,1.856212169E-1,-2.484621257E-1
6.415190990E0,3.277959228E-1,2.790808380E-1,-1.586675793E-1
6.434000677E0,4.585172236E-1,2.018086612E-1,-2.759502530E-1
6.452810365E0,5.257104039E-1,1.114032716E-1,-4.475983381E-1
6.471620052E0,4.878378808E-1,-3.130592033E-2,-5.590779781E-1
6.490429740E0,4.209501147E-1,1.715717167E-1,-4.201101959E-1
6.509239427E0,3.143572807E-1,5.240305662E-1,-4.518742561E-1
6.528049063E0,8.467870206E-2,9.339091182E-1,-3.037438095E-1
6.546858750E0,-3.906368315E-1,2.428652287E0,-9.710944295E-1
6.565668438E0,-3.100049794E-1,1.579574704E0,-1.667460322E0
6.584478125E0,-4.859289825E-1,-3.352024257E-1,-1.414264083E0
6.603287813E0,-1.285069883E-1,4.608078897E-1,3.130592033E-2
6.622097500E0,7.124006003E-2,6.999546289E-1,7.924979329E-1
6.640907188E0,-1.763821393E-2,6.978166103E-1,6.465054750E-1
6.659716875E0,-1.566059589E-1,5.762580037E-1,2.153236605E-2
6.678526511E0,-5.428905040E-2,1.816506982E-1,-3.697153032E-1
6.697336198E0,3.855973482E-2,1.920351088E-1,-1.421747059E-1
6.716145886E0,-2.672456671E-3,1.205659807E-1,-6.642963737E-2
6.734955573E0,7.711946499E-3,-1.908897609E-2,-3.466558084E-2
6.753765261E0,2.206685767E-2,-4.504998401E-2,5.650337320E-3
6.772574948E0,5.879404955E-3,2.596100792E-3,-2.092151903E-2
6.791384636E0,6.872031372E-4,9.620844387E-3,-2.825168520E-2
6.810194323E0,3.436015919E-3,-3.512371797E-3,-1.206423342E-2
6.829004011E0,1.076618303E-2,-1.298050396E-2,2.672456764E-2
6.847813698E0,7.406522986E-3,-2.305948362E-2,-7.788302377E-3
6.866623386E0,1.908897655E-3,-2.000524849E-2,-1.450762246E-2
6.885433073E0,6.184828468E-3,-1.420219894E-2,1.328592747E-2
6.904242761E0,3.817795368E-4,-5.039489828E-3,-2.901524538E-3
6.923052448E0,1.603474026E-3,-2.901524538E-3,-1.374406274E-3
