"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.195371851E2,-1.337587833E0,1.105484009E0,-9.669396400E0
7.195559963E2,-1.292124271E0,1.107876897E0,-9.672985077E0
7.195748076E2,-1.255035520E0,1.122233868E0,-9.655039787E0
7.195936188E2,-1.251446247E0,1.115055323E0,-9.655039787E0
7.196124300E2,-1.255035520E0,1.093519926E0,-9.700503349E0
7.196312413E2,-1.266999602E0,1.112662554E0,-9.702896118E0
7.196500525E2,-1.274178028E0,1.140179992E0,-9.684949875E0
7.196688637E2,-1.307677627E0,1.125823021E0,-9.670592308E0
7.196876749E2,-1.311266780E0,1.123430252E0,-9.677771568E0
7.197064862E2,-1.310070395E0,1.107876897E0,-9.695717812E0
7.197252974E2,-1.316052437E0,1.121037364E0,-9.701699257E0
7.197441086E2,-1.281356573E0,1.109073281E0,-9.677771568E0
7.197629199E2,-1.259821177E0,1.107876897E0,-9.677771568E0
7.197817311E2,-1.252642632E0,1.107876897E0,-9.670592308E0
7.198005423E2,-1.269392371E0,1.117448211E0,-9.638289452E0
7.198193536E2,-1.259821177E0,1.131805062E0,-9.669396400E0
7.198381647E2,-1.265803218E0,1.130608678E0,-9.681360245E0
7.198569760E2,-1.290927768E0,1.122233868E0,-9.704092026E0
7.198757872E2,-1.295713425E0,1.107876897E0,-9.690931320E0
7.198945984E2,-1.296909928E0,1.111466169E0,-9.695717812E0
7.199134097E2,-1.316052437E0,1.122233868E0,-9.684949875E0
7.199322209E2,-1.296909928E0,1.124626637E0,-9.683753014E0
7.199510321E2,-1.282552958E0,1.125823021E0,-9.688538551E0
7.199698434E2,-1.269392371E0,1.129412293E0,-9.671789169E0
7.199886546E2,-1.278963685E0,1.111466169E0,-9.668199539E0
7.200074658E2,-1.258624673E0,1.112662554E0,-9.689735413E0
7.200262770E2,-1.263410330E0,1.118644595E0,-9.684949875E0
7.200450883E2,-1.272981644E0,1.110269666E0,-9.687342644E0
7.200638995E2,-1.293320656E0,1.124626637E0,-9.680164337E0
7.200827107E2,-1.286142230E0,1.127019525E0,-9.675378799E0
7.201015219E2,-1.304088354E0,1.115055323E0,-9.684949875E0
7.201203332E2,-1.275374413E0,1.121037364E0,-9.678967476E0
7.201391444E2,-1.262213945E0,1.123430252E0,-9.692128181E0
7.201579556E2,-1.252642632E0,1.127019525E0,-9.688538551E0
7.201767669E2,-1.250249863E0,1.118644595E0,-9.671789169E0
7.201955781E2,-1.261017561E0,1.124626637E0,-9.682557106E0
7.202143893E2,-1.268195987E0,1.121037364E0,-9.674181938E0
7.202332005E2,-1.264606714E0,1.138983607E0,-9.672985077E0
7.202520118E2,-1.271785259E0,1.128215909E0,-9.695717812E0
7.202708230E2,-1.253839016E0,1.111466169E0,-9.699306488E0
7.202896342E2,-1.271785259E0,1.101894855E0,-9.696913719E0
7.203084454E2,-1.255035520E0,1.112662554E0,-9.683753014E0
7.203272567E2,-1.239482164E0,1.113858938E0,-9.671789169E0
7.203460679E2,-1.265803218E0,1.148554921E0,-9.663414001E0
7.203648791E2,-1.269392371E0,1.166501045E0,-9.644271851E0
7.203836903E2,-1.259821177E0,1.117448211E0,-9.651450157E0
7.204025016E2,-1.257428288E0,1.051645517E0,-9.699306488E0
7.204213128E2,-1.232303619E0,1.056431174E0,-9.735198975E0
7.204401240E2,-1.234696507E0,1.130608678E0,-9.723235130E0
7.204589352E2,-1.247856975E0,1.148554921E0,-9.693324089E0
7.204777465E2,-1.253839016E0,1.144965649E0,-9.670592308E0
7.204965577E2,-1.280160069E0,1.136590719E0,-9.647860527E0
7.205153689E2,-1.284945726E0,1.149751306E0,-9.663414001E0
7.205341801E2,-1.287338614E0,1.133001566E0,-9.686145782E0
7.205529914E2,-1.262213945E0,1.117448211E0,-9.683753014E0
7.205718026E2,-1.227517962E0,1.103091240E0,-9.675378799E0
7.205906138E2,-1.209571838E0,1.087537885E0,-9.668199539E0
7.206094250E2,-1.208375454E0,1.101894855E0,-9.668199539E0
7.206282363E2,-1.213161111E0,1.099501967E0,-9.678967476E0
7.206470475E2,-1.237089276E0,1.107876897E0,-9.699306488E0
7.206658587E2,-1.270588875E0,1.133001566E0,-9.710074425E0
7.206846699E2,-1.314856052E0,1.150947690E0,-9.710074425E0
7.207034811E2,-1.325623751E0,1.127019525E0,-9.694520950E0
7.207222924E2,-1.305284739E0,1.104287624E0,-9.684949875E0
7.207411036E2,-1.257428288E0,1.134197950E0,-9.672985077E0
7.207599147E2,-1.245464206E0,1.118644595E0,-9.661021233E0
7.207787260E2,-1.214357495E0,1.097109199E0,-9.683753014E0
7.207975372E2,-1.231107235E0,1.110269666E0,-9.684949875E0
7.208163484E2,-1.252642632E0,1.133001566E0,-9.676574707E0
7.208351596E2,-1.272981644E0,1.127019525E0,-9.670592308E0
7.208539709E2,-1.283749342E0,1.100698471E0,-9.670592308E0
7.208727821E2,-1.281356573E0,1.104287624E0,-9.711270332E0
7.208915933E2,-1.271785259E0,1.105484009E0,-9.717252731E0
7.209104045E2,-1.266999602E0,1.103091240E0,-9.683753014E0
7.209292157E2,-1.258624673E0,1.105484009E0,-9.675378799E0
7.209480269E2,-1.251446247E0,1.130608678E0,-9.652647018E0
7.209668382E2,-1.265803218E0,1.129412293E0,-9.665806770E0
7.209856494E2,-1.245464206E0,1.117448211E0,-9.670592308E0
7.210044606E2,-1.269392371E0,1.134197950E0,-9.678967476E0
7.210232718E2,-1.282552958E0,1.113858938E0,-9.695717812E0
7.210420830E2,-1.272981644E0,1.107876897E0,-9.694520950E0
7.210608943E2,-1.276570916E0,1.117448211E0,-9.690931320E0
7.210797055E2,-1.284945726E0,1.119840980E0,-9.687342644E0
7.210985167E2,-1.289731383E0,1.116251707E0,-9.694520950E0
7.211173279E2,-1.300499082E0,1.115055323E0,-9.687342644E0
7.211361391E2,-1.286142230E0,1.119840980E0,-9.683753014E0
7.211549503E2,-1.288534999E0,1.123430252E0,-9.683753014E0
7.211737616E2,-1.265803218E0,1.104287624E0,-9.671789169E0
7.211925728E2,-1.259821177E0,1.113858938E0,-9.680164337E0
7.212113840E2,-1.256231904E0,1.113858938E0,-9.676574707E0
7.212301952E2,-1.263410330E0,1.124626637E0,-9.682557106E0
7.212490064E2,-1.266999602E0,1.116251707E0,-9.690931320E0
7.212678176E2,-1.270588875E0,1.121037364E0,-9.677771568E0
7.212866288E2,-1.298106313E0,1.101894855E0,-9.694520950E0
7.213054401E2,-1.284945726E0,1.101894855E0,-9.681360245E0
7.213242513E2,-1.266999602E0,1.122233868E0,-9.674181938E0
7.213430625E2,-1.258624673E0,1.116251707E0,-9.687342644E0
7.213618737E2,-1.265803218E0,1.110269666E0,-9.688538551E0
7.213806849E2,-1.282552958E0,1.121037364E0,-9.701699257E0
7.213994961E2,-1.275374413E0,1.107876897E0,-9.678967476E0
7.214183073E2,-1.268195987E0,1.122233868E0,-9.650253296E0
7.214371186E2,-1.269392371E0,1.141376376E0,-9.657432556E0
7.214559297E2,-1.293320656E0,1.143769264E0,-9.669396400E0
7.214747409E2,-1.277767301E0,1.107876897E0,-9.690931320E0
7.214935521E2,-1.261017561E0,1.067198873E0,-9.699306488E0
7.215123633E2,-1.249053478E0,1.085145116E0,-9.701699257E0
